No,Kecamatan,Longsor 2014,Gempa 2014,Longsor 2018,Gempa 2018,Longsor 2020,Gempa 2020,Longitude,Latitude
1,Jatiluhur,4,0,6,0,6,0,107.4115,-6.5272
2,Sukasari,5,0,1,0,2,0,107.2941,-6.5389
3,Maniis,5,1,2,0,1,0,107.3168,-6.6993
4,Tegalwaru,6,0,4,0,0,0,107.3568,-6.6717
5,Plered,4,0,0,0,1,0,107.3906,-6.6415
6,Sukatani,5,1,6,4,3,0,107.4203,-6.6166
7,Darangdan,2,2,7,0,1,0,107.4372,-6.6924
8,Bojong,2,0,4,0,3,10,107.5017,-6.7098
9,Wanayasa,7,0,3,0,4,0,107.5445,-6.6787
10,Kiarapedes,0,0,1,0,1,0,107.5862,-6.6751
11,Pasawahan,9,0,8,0,4,1,107.4677,-6.5866
12,Pondoksalam,2,0,5,1,3,0,107.4814,-6.6135
13,Purwakarta,4,0,3,0,0,0,107.4463,-6.5407
14,Babakancikao,0,0,0,0,0,0,107.4025,-6.4934
15,Campaka,1,0,0,0,1,0,107.4804,-6.5115
16,Cibatu,0,0,0,0,1,0,107.5508,-6.5027
17,Bungursari,1,0,1,0,0,0,107.4787,-6.4857
